Unnamed: 0,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Away,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1,Botafogo (RJ),3,3,0,0,7,1,6,9,3,5.4,2.8,2.6,0.86,2,2,0,0,5,3,2,6,3,2.1,4,-1.9,-0.94
1.0,2,Palmeiras,3,3,0,0,8,3,5,9,3,7.8,1.2,6.6,2.2,2,1,1,0,7,2,5,4,2,2.9,2.4,0.5,0.25
2.0,3,Fluminense,2,1,1,0,3,1,2,4,2,2.6,1.4,1.2,0.59,3,2,0,1,7,4,3,6,2,5.8,8.6,-2.8,-0.95
3.0,4,Atl Paranaense,2,2,0,0,4,1,3,6,3,1.8,2.4,-0.6,-0.28,3,1,0,2,3,4,-1,3,1,2.6,3.9,-1.2,-0.41
4.0,5,Cruzeiro,3,2,0,1,3,3,0,6,2,5.1,3.3,1.8,0.61,2,1,0,1,4,2,2,3,1.5,2.5,3,-0.5,-0.25
5.0,6,Fortaleza,3,1,2,0,5,3,2,5,1.67,7.9,3.1,4.8,1.61,2,1,1,0,4,1,3,4,2,3.6,1.7,1.9,0.93
6.0,7,São Paulo,2,2,0,0,5,0,5,6,3,4.1,2.2,1.9,0.95,3,0,2,1,2,3,-1,2,0.67,3.6,3.6,0,0.01
7.0,8,Atlético Mineiro,2,1,0,1,3,3,0,3,1.5,3.6,2,1.7,0.84,3,1,1,1,4,2,2,4,1.33,4.3,3.2,1.2,0.4
8.0,9,Santos,3,2,1,0,6,2,4,7,2.33,4.6,4.1,0.5,0.18,2,0,0,2,1,3,-2,0,0,2.4,3.2,-0.8,-0.41
9.0,10,Grêmio,2,1,1,0,4,3,1,4,2,3.2,3,0.2,0.09,3,1,0,2,3,6,-3,3,1,2.5,6.5,-4,-1.34
10.0,11,Internacional,3,2,0,1,3,3,0,6,2,3,3.8,-0.8,-0.25,2,0,1,1,1,3,-2,1,0.5,1.9,3.2,-1.4,-0.68
11.0,12,Flamengo,3,2,0,1,7,3,4,6,2,7.1,3.1,4,1.35,2,0,0,2,2,4,-2,0,0,3,2.2,0.8,0.42
12.0,13,Bahia,2,1,0,1,4,3,1,3,1.5,2.4,0.6,1.8,0.9,3,1,0,2,2,5,-3,3,1,3,4.8,-1.9,-0.62
13.0,14,Vasco da Gama,2,0,1,1,2,3,-1,1,0.5,2.6,1.9,0.7,0.34,3,1,2,0,4,3,1,5,1.67,2.9,4.3,-1.4,-0.46
14.0,15,Bragantino,3,1,1,1,4,6,-2,4,1.33,5,4.6,0.4,0.14,2,0,2,0,4,4,0,2,1,2.7,2.8,-0.1,-0.06
15.0,16,Corinthians,2,1,1,0,3,2,1,4,2,2.5,1.5,1,0.52,3,0,0,3,2,8,-6,0,0,1.5,5.1,-3.5,-1.18
16.0,17,Cuiabá,3,0,1,2,2,7,-5,1,0.33,2.6,5.1,-2.5,-0.83,2,1,0,1,3,3,0,3,1.5,1.1,4.1,-2.9,-1.47
17.0,18,Goiás,2,1,0,1,3,6,-3,3,1.5,1.9,2.6,-0.7,-0.34,3,0,0,3,0,5,-5,0,0,2.5,4.3,-1.8,-0.61
18.0,19,Coritiba,3,0,2,1,2,5,-3,2,0.67,3.6,4.4,-0.9,-0.29,2,0,0,2,1,6,-5,0,0,0.7,2.9,-2.1,-1.06
19.0,20,América (MG),2,0,0,2,1,5,-4,0,0,2.5,3.5,-1.1,-0.53,3,0,1,2,4,8,-4,1,0.33,4.8,5.7,-0.9,-0.3
